34201,2351,205,169,433,21,65609,4387,90,93,362,176,35,267;;;;;;;;;;;;;;;;
12115,875,163,92,543,350,50090,3346,44,0,663,430,12,267;;;;;;;;;;;;;;;;
14669,2908,211,207,333,30,75671,10417,123,136,262,0,12,267;;;;;;;;;;;;;;;;
18576,2872,80,201,172,78,66479,8150,7,99,0,211,15,268;;;;;;;;;;;;;;;;
925856,288250,8084,3440,28656,10003,1550005,484407,7238,3237,29021,11258,52,269;;;;;;;;;;;;;;;;
35336,2121,319,222,425,375,66926,4344,228,116,280,757,32,269;;;;;;;;;;;;;;;;
16407,3519,101,160,419,230,65454,10696,0,60,263,293,14,270;;;;;;;;;;;;;;;;
14808,1163,0,316,298,271,54259,3916,0,233,31,187,14,271;;;;;;;;;;;;;;;;
21093,1020,150,296,325,132,79180,3920,32,240,219,136,16,271;;;;;;;;;;;;;;;;
22033,1080,68,277,165,160,71959,4278,40,208,16,223,17,271;;;;;;;;;;;;;;;;
34807,3423,86,46,421,49,95855,6352,57,0,190,69,21,271;;;;;;;;;;;;;;;;
335529,30096,258,343,184,66,577260,46730,222,132,508,216,49,271;;;;;;;;;;;;;;;;
16585,637,114,40,411,179,64359,2503,0,0,309,159,15,271;;;;;;;;;;;;;;;;
56964,5236,209,99,259,270,85851,8446,117,58,131,310,38,271;;;;;;;;;;;;;;;;
353106,13959,763,0,760,864,188267,6541,240,43,904,564,128,271;;;;;;;;;;;;;;;;
19268,3550,205,131,414,44,61665,11209,124,0,345,385,17,271;;;;;;;;;;;;;;;;
23247,3526,251,142,439,179,78361,12091,200,66,466,224,17,271;;;;;;;;;;;;;;;;
17310,1143,169,153,295,134,89786,4021,62,70,21,4,12,271;;;;;;;;;;;;;;;;
19187,970,23,139,494,40,65314,3305,0,32,309,113,16,272;;;;;;;;;;;;;;;;
11393,401,66,175,98,208,50739,2428,0,72,0,222,12,272;;;;;;;;;;;;;;;;
772548,120707,10199,3371,34041,10941,1227427,173006,8704,3251,32069,10148,62,272;;;;;;;;;;;;;;;;
24175,2458,162,196,179,40,82692,7075,43,95,213,0,16,273;;;;;;;;;;;;;;;;
36045,8165,212,183,205,307,67092,15947,151,73,211,405,20,274;;;;;;;;;;;;;;;;
25370,3166,226,149,173,33,83221,8135,107,79,173,0,18,274;;;;;;;;;;;;;;;;
13001,829,148,54,205,381,56019,2622,61,30,275,466,12,274;;;;;;;;;;;;;;;;
847843,67950,84,0,439,157,1416837,105243,158,172,589,369,63,275;;;;;;;;;;;;;;;;
13318,2537,248,184,406,384,54396,8780,194,98,541,529,14,276;;;;;;;;;;;;;;;;
14581,5183,92,86,172,81,57159,21412,0,0,0,0,14,277;;;;;;;;;;;;;;;;
22474,952,144,237,275,253,86760,2553,65,134,147,453,16,277;;;;;;;;;;;;;;;;
14940,1757,47,124,447,92,53163,5704,0,38,330,68,15,277;;;;;;;;;;;;;;;;
26076,8195,186,92,690,277,78866,17737,107,68,664,524,20,280;;;;;;;;;;;;;;;;
316437,27581,328,72,853,0,420733,34562,278,76,581,121,59,280;;;;;;;;;;;;;;;;
60826,18696,55,334,261,0,94213,31227,51,209,256,28,37,280;;;;;;;;;;;;;;;;
45872,15684,154,99,289,234,91210,30042,101,126,167,213,35,281;;;;;;;;;;;;;;;;
28135,12475,80,80,729,0,84214,29592,55,18,771,0,20,281;;;;;;;;;;;;;;;;
16845,3327,113,107,228,142,87461,14536,0,49,372,12,12,281;;;;;;;;;;;;;;;;
341846,146912,563,174,943,4566,491252,223634,292,225,761,4576,54,282;;;;;;;;;;;;;;;;
42024,7375,0,242,234,0,93497,14110,0,157,266,40,26,282;;;;;;;;;;;;;;;;
16903,2778,206,68,262,0,68197,8581,227,0,204,0,14,283;;;;;;;;;;;;;;;;
312646,656579,1904,427,663,205,508810,1066669,1816,277,846,298,46,283;;;;;;;;;;;;;;;;
17544,1129,153,230,200,123,60793,4205,20,181,0,6,15,283;;;;;;;;;;;;;;;;
146464,29613,480,0,1037,274,133230,29642,234,0,643,483,74,284;;;;;;;;;;;;;;;;
18182,3971,187,196,46,231,68531,12926,72,106,0,240,15,285;;;;;;;;;;;;;;;;
15545,2173,229,78,419,293,55201,7039,160,0,547,305,15,286;;;;;;;;;;;;;;;;
26762,1851,40,122,391,162,97934,4860,0,52,140,278,17,286;;;;;;;;;;;;;;;;
12137,3535,245,168,239,94,51780,13596,170,124,172,0,12,286;;;;;;;;;;;;;;;;
24644,3201,174,204,76,192,84785,8905,42,194,52,258,18,287;;;;;;;;;;;;;;;;
815798,310636,10975,3490,38021,8394,1157153,465909,9881,3300,35940,7812,57,288;;;;;;;;;;;;;;;;
21248,2447,220,231,416,206,69183,7407,121,162,220,222,17,289;;;;;;;;;;;;;;;;
111442,4622,254,509,363,0,258925,9972,201,430,603,157,30,289;;;;;;;;;;;;;;;;
17187,1745,93,174,214,44,78597,5139,0,44,0,0,13,289;;;;;;;;;;;;;;;;
86110,7369,119,334,907,466,201247,13545,131,241,623,454,29,289;;;;;;;;;;;;;;;;
65560,5349,122,62,647,60,143144,10046,10,54,633,171,37,290;;;;;;;;;;;;;;;;
67616,8004,238,236,220,501,126277,15035,141,114,82,405,36,290;;;;;;;;;;;;;;;;
12193,1666,5,163,241,118,51644,5696,0,36,5,42,13,291;;;;;;;;;;;;;;;;
19406,5219,28,1,306,103,66288,17280,0,0,223,189,18,291;;;;;;;;;;;;;;;;
18590,6972,81,90,222,89,60339,18008,0,0,0,0,16,291;;;;;;;;;;;;;;;;
15682,2239,120,139,467,30,75486,10041,0,1,814,0,13,291;;;;;;;;;;;;;;;;
16352,987,156,156,458,7,61311,3423,61,45,314,0,15,291;;;;;;;;;;;;;;;;
15998,1411,74,121,366,165,55990,5442,0,0,231,163,15,292;;;;;;;;;;;;;;;;
22765,8172,138,118,217,304,64476,19015,49,0,92,351,19,292;;;;;;;;;;;;;;;;
15100,3087,93,109,101,109,62562,12296,0,37,0,77,14,292;;;;;;;;;;;;;;;;
13204,664,163,280,211,95,51369,2943,67,197,40,217,14,292;;;;;;;;;;;;;;;;
20474,1983,180,263,486,177,81113,6273,83,172,403,109,15,292;;;;;;;;;;;;;;;;
11145,1709,191,131,161,192,50949,8794,120,26,33,142,12,293;;;;;;;;;;;;;;;;
13456,3715,273,159,114,125,50240,17592,260,55,0,3,14,293;;;;;;;;;;;;;;;;
64502,2269,348,109,838,433,108898,3506,251,117,701,298,44,293;;;;;;;;;;;;;;;;
15719,404,160,163,302,262,75185,1773,33,77,87,386,13,293;;;;;;;;;;;;;;;;
16879,6528,260,222,284,222,64509,29000,187,140,0,430,15,294;;;;;;;;;;;;;;;;
32485,21470,236,168,253,299,109225,44507,179,111,94,503,20,294;;;;;;;;;;;;;;;;
88520,14230,163,0,405,0,186055,23626,160,1,547,206,45,294;;;;;;;;;;;;;;;;
29082,4240,235,153,161,112,78313,9177,206,53,0,86,22,295;;;;;;;;;;;;;;;;
15355,1737,144,231,42,245,52124,4924,33,121,0,198,15,295;;;;;;;;;;;;;;;;
67377,37565,345,162,791,63,142809,69238,249,216,751,215,31,296;;;;;;;;;;;;;;;;
21033,3038,174,153,397,203,68681,8879,190,94,275,265,17,298;;;;;;;;;;;;;;;;
13607,1269,113,189,266,0,60257,7174,0,161,124,0,12,298;;;;;;;;;;;;;;;;
1281258,178005,25934,11649,29846,1103,2150845,257936,24435,11051,30229,1400,70,298;;;;;;;;;;;;;;;;
1295037,232041,17802,6622,60710,22139,1796314,317295,15172,6042,54681,18802,67,298;;;;;;;;;;;;;;;;
13744,325,78,160,372,290,50864,1356,0,57,231,290,14,298;;;;;;;;;;;;;;;;
106250,10898,339,83,46,140,193472,16814,186,93,237,361,52,299;;;;;;;;;;;;;;;;
17345,2906,293,133,214,387,75563,9490,322,66,0,541,14,299;;;;;;;;;;;;;;;;
548858,57960,220,577,1250,32,284783,32506,246,220,565,469,140,300;;;;;;;;;;;;;;;;
45667,9025,34,201,158,0,84831,16476,25,224,149,53,34,300;;;;;;;;;;;;;;;;
11498,736,142,183,389,251,52069,2671,13,64,252,253,12,300;;;;;;;;;;;;;;;;
639164,126443,5517,2180,14501,2639,1137527,212909,5626,2157,14361,1870,52,301;;;;;;;;;;;;;;;;
96946,6464,107,143,37,0,222469,12192,82,55,158,180,32,301;;;;;;;;;;;;;;;;
14968,1314,202,165,314,248,74994,5702,160,77,116,255,12,302;;;;;;;;;;;;;;;;
478980,176081,0,19,629,0,247012,99802,133,270,832,180,158,302;;;;;;;;;;;;;;;;
15699,6649,89,110,378,214,53446,18254,50,62,137,501,15,302;;;;;;;;;;;;;;;;
511951,161591,264,112,377,0,250009,91427,278,172,505,294,137,303;;;;;;;;;;;;;;;;
1406147,226427,15286,6039,59254,19456,2315253,340236,15642,5885,58386,17524,66,303;;;;;;;;;;;;;;;;
77591,35455,355,443,749,313,92165,30706,198,245,525,292,63,303;;;;;;;;;;;;;;;;
13464,726,68,115,136,202,54598,3108,0,0,0,104,13,304;;;;;;;;;;;;;;;;
16093,1124,160,24,575,239,64156,4132,36,0,587,202,14,305;;;;;;;;;;;;;;;;
18790,4058,160,268,287,242,54893,10954,185,206,75,263,17,305;;;;;;;;;;;;;;;;
1080090,199591,11905,4534,40688,15375,1643910,294327,11244,4077,40131,14437,63,306;;;;;;;;;;;;;;;;
178550,18354,285,92,422,246,305826,30330,145,70,353,484,45,306;;;;;;;;;;;;;;;;
19785,2834,309,127,316,13,71530,7157,253,25,803,0,16,307;;;;;;;;;;;;;;;;
15578,2346,244,115,344,0,54793,6801,139,0,495,0,15,307;;;;;;;;;;;;;;;;
15199,2890,56,228,295,507,53232,9303,0,193,104,651,15,307;;;;;;;;;;;;;;;;
152346,27031,3743,1818,5853,500,334317,54074,4105,1913,6077,660,33,308;;;;;;;;;;;;;;;;
15508,5095,126,137,430,77,59574,15665,174,60,204,72,15,308;;;;;;;;;;;;;;;;
128552,16069,208,219,863,0,169361,23237,123,157,439,331,57,309;;;;;;;;;;;;;;;;
16419,7902,181,219,178,0,65672,23331,104,114,70,0,14,309;;;;;;;;;;;;;;;;
14341,2112,166,178,417,129,70409,9306,94,64,348,117,12,310;;;;;;;;;;;;;;;;
24851,5680,290,207,183,0,83094,12902,179,94,234,60,18,310;;;;;;;;;;;;;;;;
26095,8242,188,83,97,0,82796,18150,148,35,77,0,19,310;;;;;;;;;;;;;;;;
15752,4047,183,203,386,186,74590,14280,126,111,170,350,12,310;;;;;;;;;;;;;;;;
16025,523,229,156,549,52,57822,1781,127,89,405,169,15,310;;;;;;;;;;;;;;;;
57989,11531,349,343,397,0,131268,22844,199,208,405,320,39,311;;;;;;;;;;;;;;;;
516498,70115,6016,2813,20798,7202,899849,107297,5573,2520,21237,7584,49,311;;;;;;;;;;;;;;;;
727837,102269,9065,3262,28594,10410,1211108,146757,8433,3129,29028,11052,61,311;;;;;;;;;;;;;;;;
12613,2964,181,181,275,41,55146,12161,131,86,38,0,12,311;;;;;;;;;;;;;;;;
14241,938,194,83,331,231,51761,2868,103,1,291,418,14,312;;;;;;;;;;;;;;;;
17653,2387,180,81,338,149,68717,6620,86,0,157,179,16,313;;;;;;;;;;;;;;;;
13690,2068,252,195,267,172,55111,6533,233,104,306,60,14,313;;;;;;;;;;;;;;;;
1362377,113557,0,0,0,145,890880,67034,236,54,333,677,131,313;;;;;;;;;;;;;;;;
13264,1798,122,127,427,260,54740,6889,16,26,233,456,14,313;;;;;;;;;;;;;;;;
52687,6061,160,207,385,6,84891,11465,95,117,321,122,38,314;;;;;;;;;;;;;;;;
490790,181455,6428,2593,21147,6512,764563,285520,5584,2062,19548,7856,53,314;;;;;;;;;;;;;;;;
387794,81872,7937,3193,6506,348,654914,129346,7460,2821,5907,1003,49,315;;;;;;;;;;;;;;;;
72520,11099,0,249,205,334,107120,17216,95,152,23,603,45,315;;;;;;;;;;;;;;;;
1218800,83308,12087,3934,35575,9354,2277346,126898,11651,4023,37924,10399,59,315;;;;;;;;;;;;;;;;
25411,5736,199,53,309,33,88528,16018,108,0,91,29,17,316;;;;;;;;;;;;;;;;
16519,3271,120,156,162,78,72274,10232,6,49,0,47,14,317;;;;;;;;;;;;;;;;
1136640,221616,12532,4110,41322,13315,1917860,344374,11131,3745,39420,13331,56,317;;;;;;;;;;;;;;;;
12988,839,299,12,505,277,53561,2929,251,0,382,252,13,318;;;;;;;;;;;;;;;;
114586,6500,226,318,0,177,265365,12417,74,189,0,406,42,318;;;;;;;;;;;;;;;;
11940,1080,183,171,366,21,56187,3787,94,55,179,0,12,318;;;;;;;;;;;;;;;;
32186,2523,166,169,286,438,77749,4172,88,61,101,540,31,319;;;;;;;;;;;;;;;;
48126,4985,2,189,364,196,116921,8430,72,152,331,304,35,319;;;;;;;;;;;;;;;;
21962,1806,123,174,835,81,92350,5110,13,113,991,0,16,319;;;;;;;;;;;;;;;;
1631254,322434,20485,7977,61147,16580,1287846,259232,11009,4282,38013,13915,97,321;;;;;;;;;;;;;;;;
54409,32182,0,153,208,33,96931,56152,128,76,435,117,40,321;;;;;;;;;;;;;;;;
99705,30138,90,309,250,197,175863,56659,84,215,306,224,34,321;;;;;;;;;;;;;;;;
11561,3048,65,139,289,239,54026,11370,0,41,38,193,12,321;;;;;;;;;;;;;;;;
86391,8342,287,199,496,0,152693,13701,195,109,382,266,45,322;;;;;;;;;;;;;;;;
131421,11881,425,212,1123,71,116381,9004,182,157,968,355,74,323;;;;;;;;;;;;;;;;
15287,1315,130,184,400,257,83227,4900,13,92,255,216,12,323;;;;;;;;;;;;;;;;
24181,901,171,59,494,75,73955,3160,91,0,246,133,19,323;;;;;;;;;;;;;;;;
103031,8789,25,162,167,0,229081,17111,0,233,324,45,32,323;;;;;;;;;;;;;;;;
833663,197823,12620,4707,39873,12457,1161258,259929,10385,3990,34561,10615,61,324;;;;;;;;;;;;;;;;
1366702,73471,2,78,940,0,2161772,105181,106,90,485,182,60,324;;;;;;;;;;;;;;;;
878678,249070,12057,4451,38838,12173,1277806,364842,10755,3912,36838,14086,53,324;;;;;;;;;;;;;;;;
190601,15036,0,172,1,0,315398,24644,0,108,33,374,44,326;;;;;;;;;;;;;;;;
13131,573,0,80,413,271,52029,2151,0,0,219,370,13,326;;;;;;;;;;;;;;;;
11046,893,84,171,154,0,51128,3468,0,62,0,0,12,326;;;;;;;;;;;;;;;;
27381,10895,166,198,295,162,87932,33230,101,92,104,150,19,326;;;;;;;;;;;;;;;;
22324,14900,209,245,212,135,66563,36667,134,197,99,211,19,326;;;;;;;;;;;;;;;;
19636,5063,188,207,377,104,60546,19210,98,170,179,131,17,326;;;;;;;;;;;;;;;;
29612,2971,53,183,117,121,89562,6393,11,89,159,0,19,326;;;;;;;;;;;;;;;;
39847,13855,129,0,785,310,84703,23978,67,0,501,230,21,327;;;;;;;;;;;;;;;;
23647,4420,331,53,444,126,64411,11944,247,0,389,199,19,328;;;;;;;;;;;;;;;;
14493,2157,278,77,156,13,66116,9755,243,0,210,0,12,328;;;;;;;;;;;;;;;;
43745,3787,516,112,0,63,102358,7962,312,84,107,239,32,329;;;;;;;;;;;;;;;;
52879,5547,328,206,926,0,81177,9833,273,158,931,296,40,330;;;;;;;;;;;;;;;;
27327,2645,181,110,247,40,118564,7497,104,56,235,0,16,330;;;;;;;;;;;;;;;;
12634,649,105,243,327,100,53436,2699,26,167,128,0,12,330;;;;;;;;;;;;;;;;
13603,2692,35,130,385,285,56194,8107,0,0,321,547,12,330;;;;;;;;;;;;;;;;
17444,1679,261,171,208,254,72475,5521,189,94,4,506,14,330;;;;;;;;;;;;;;;;
18447,5471,214,119,173,103,55421,15296,175,74,60,79,17,331;;;;;;;;;;;;;;;;
11518,2428,229,277,314,37,50383,12695,169,236,95,0,12,331;;;;;;;;;;;;;;;;
15228,1336,245,216,270,152,50573,5267,146,119,159,168,15,331;;;;;;;;;;;;;;;;
14277,867,221,193,203,0,51957,3062,182,75,0,0,15,332;;;;;;;;;;;;;;;;
408199,43670,465,48,118,12,422970,46109,190,105,201,198,80,333;;;;;;;;;;;;;;;;
18298,2825,47,275,283,324,54659,6870,0,171,256,504,17,334;;;;;;;;;;;;;;;;
16766,2981,89,140,277,421,54061,7785,0,60,8,583,16,334;;;;;;;;;;;;;;;;
837249,207960,12413,4296,37932,12826,1135001,299172,10565,3236,32745,10813,55,334;;;;;;;;;;;;;;;;
43560,10797,11,21,294,0,94246,21746,0,0,223,85,38,335;;;;;;;;;;;;;;;;
100704,9739,177,68,187,850,186075,16322,167,117,450,490,35,335;;;;;;;;;;;;;;;;
199746,104695,352,0,763,228,185689,106463,201,101,362,292,72,336;;;;;;;;;;;;;;;;
38510,4557,328,149,513,405,96501,9191,97,89,381,452,21,337;;;;;;;;;;;;;;;;
12968,1236,218,203,35,142,50050,4659,204,98,37,68,13,337;;;;;;;;;;;;;;;;
13852,1193,122,206,297,66,51539,5143,7,133,156,42,14,339;;;;;;;;;;;;;;;;
14461,2264,107,190,480,233,67826,8822,0,149,488,243,13,339;;;;;;;;;;;;;;;;
45949,4407,424,174,594,0,88638,5079,195,118,449,30,45,340;;;;;;;;;;;;;;;;
14198,376,154,112,435,15,53718,1171,53,81,388,105,14,340;;;;;;;;;;;;;;;;
42464,15212,302,0,0,0,63625,25208,143,0,75,73,39,340;;;;;;;;;;;;;;;;
13210,1594,199,83,233,120,51031,4950,144,0,122,4,14,341;;;;;;;;;;;;;;;;
21283,1473,324,195,565,120,61398,3734,240,109,359,56,19,342;;;;;;;;;;;;;;;;
15956,2111,175,139,162,121,53380,6963,65,28,160,269,15,342;;;;;;;;;;;;;;;;
496382,20525,59,483,190,404,437055,14955,152,188,487,514,89,342;;;;;;;;;;;;;;;;
21271,4063,169,140,200,109,78104,9917,72,11,261,226,17,342;;;;;;;;;;;;;;;;
18493,1897,190,42,142,137,60572,7068,96,0,66,136,17,342;;;;;;;;;;;;;;;;
23404,1406,130,175,325,168,69319,3834,17,99,218,129,19,344;;;;;;;;;;;;;;;;
19218,760,153,189,339,311,93744,2922,49,79,165,341,12,344;;;;;;;;;;;;;;;;
26769,1994,145,184,253,69,86236,4744,149,151,676,8,20,345;;;;;;;;;;;;;;;;
1586202,542771,1434,863,1158,963,1866525,854190,775,445,707,936,67,346;;;;;;;;;;;;;;;;
646413,88094,6529,2030,17838,5055,1223495,141356,6400,2321,18360,7010,49,346;;;;;;;;;;;;;;;;
692727,40137,0,0,874,0,357040,18944,116,51,511,395,153,346;;;;;;;;;;;;;;;;
45306,8259,0,0,0,830,80280,14673,0,66,201,698,37,348;;;;;;;;;;;;;;;;
11879,918,174,165,530,250,50039,3531,87,93,551,470,12,348;;;;;;;;;;;;;;;;
411543,36181,244,409,31,372,754123,63053,252,242,86,363,46,348;;;;;;;;;;;;;;;;
58177,6425,297,6,491,250,86422,8883,279,147,243,514,39,349;;;;;;;;;;;;;;;;
512568,126185,6121,2524,19636,6221,896865,192309,5644,2131,19837,7777,51,351;;;;;;;;;;;;;;;;
43548,5286,150,365,594,538,90546,7111,116,223,710,938,38,351;;;;;;;;;;;;;;;;
15819,3504,162,22,309,230,61758,12602,58,0,215,355,15,351;;;;;;;;;;;;;;;;
13861,2281,202,130,114,0,53759,9752,115,28,31,0,13,351;;;;;;;;;;;;;;;;
1041842,96920,9441,3181,27719,9864,1880915,167423,10050,3352,31332,14025,45,352;;;;;;;;;;;;;;;;
20721,2741,214,281,618,548,72753,15062,267,350,1006,1875,17,352;;;;;;;;;;;;;;;;
12644,1596,221,89,50,273,54745,7460,232,0,0,393,12,354;;;;;;;;;;;;;;;;
28210,5912,89,6,226,0,78108,14706,0,0,166,9,20,354;;;;;;;;;;;;;;;;
17621,1488,104,77,223,449,60171,3937,0,25,19,620,17,354;;;;;;;;;;;;;;;;
19373,2414,157,153,338,208,54930,5985,35,72,171,240,17,354;;;;;;;;;;;;;;;;
186415,18000,409,0,561,294,225366,19802,301,184,697,228,64,354;;;;;;;;;;;;;;;;
85363,19885,415,543,574,112,97438,23098,226,250,250,218,55,355;;;;;;;;;;;;;;;;
15016,2087,132,242,345,35,50528,7645,1,154,239,17,15,355;;;;;;;;;;;;;;;;
14434,5099,126,246,453,74,58837,17569,43,189,320,0,14,356;;;;;;;;;;;;;;;;
28798,3210,148,192,262,301,82263,7899,69,183,187,281,21,357;;;;;;;;;;;;;;;;
11556,1912,87,125,442,54,52046,6614,0,37,310,0,12,359;;;;;;;;;;;;;;;;
16507,3241,174,153,209,192,70511,11172,84,93,0,429,14,359;;;;;;;;;;;;;;;;
14510,1313,187,157,203,145,59959,6223,136,57,0,380,13,359;;;;;;;;;;;;;;;;
18219,2310,75,240,369,0,67632,6714,0,199,343,0,15,360;;;;;;;;;;;;;;;;
22167,1101,263,145,120,175,76317,2796,178,72,0,124,17,360;;;;;;;;;;;;;;;;
50048,3268,20,196,162,0,95574,4488,2,132,286,282,40,360;;;;;;;;;;;;;;;;
17225,1078,104,168,125,61,65911,3663,0,40,0,158,15,360;;;;;;;;;;;;;;;;
624068,123024,7822,2751,24158,8728,1021258,187984,7085,2347,24596,8007,60,360;;;;;;;;;;;;;;;;
56139,10294,105,165,807,0,161063,23753,104,73,1021,120,24,361;;;;;;;;;;;;;;;;
14015,3143,175,127,167,162,51794,10422,77,41,0,146,13,362;;;;;;;;;;;;;;;;
395098,95732,199,424,0,0,463811,119977,153,189,229,243,74,363;;;;;;;;;;;;;;;;
745786,159012,9392,3192,27046,7502,1192420,244678,8319,3063,26017,9509,68,363;;;;;;;;;;;;;;;;
18278,1676,71,101,179,140,66761,5014,0,0,0,81,16,365;;;;;;;;;;;;;;;;
27412,3248,284,178,334,3,54444,5757,169,120,113,0,29,365;;;;;;;;;;;;;;;;
25272,2135,32,107,707,277,77976,10232,0,4,502,584,18,366;;;;;;;;;;;;;;;;
27863,6886,184,193,183,466,90451,14481,76,153,387,560,19,366;;;;;;;;;;;;;;;;
29825,5555,139,86,322,180,88615,13213,53,107,675,80,20,366;;;;;;;;;;;;;;;;
15020,976,178,139,389,263,78330,4581,99,33,183,264,12,366;;;;;;;;;;;;;;;;
17370,1645,218,145,402,101,61068,7131,131,24,313,0,16,367;;;;;;;;;;;;;;;;
18206,1268,194,233,208,97,57822,5345,81,144,203,0,17,367;;;;;;;;;;;;;;;;
42983,11022,333,115,275,55,57724,19588,185,45,239,97,36,367;;;;;;;;;;;;;;;;
1224575,427861,12661,4610,39552,11823,2103461,657415,12236,4702,39359,9662,58,368;;;;;;;;;;;;;;;;
195868,27566,427,34,23,637,359789,51433,285,27,421,480,43,369;;;;;;;;;;;;;;;;
248895,46037,269,404,14,267,306612,60589,158,193,215,310,60,370;;;;;;;;;;;;;;;;
16976,3880,215,101,206,356,58093,12808,145,128,162,599,16,370;;;;;;;;;;;;;;;;
16066,3235,150,118,278,83,58133,12264,100,246,85,165,15,370;;;;;;;;;;;;;;;;
19465,1820,257,142,165,3,64081,4738,146,66,0,0,17,371;;;;;;;;;;;;;;;;
21214,1764,102,186,67,209,78182,4404,8,108,0,114,17,371;;;;;;;;;;;;;;;;
17992,2480,273,159,381,0,62169,6403,176,33,417,0,16,371;;;;;;;;;;;;;;;;
18587,2811,157,153,89,69,65242,6405,31,35,15,302,16,371;;;;;;;;;;;;;;;;
515846,93767,7300,2696,25113,6514,765751,139082,6525,2410,24051,5874,52,371;;;;;;;;;;;;;;;;
13045,704,96,86,558,50,52697,2789,0,0,631,65,13,371;;;;;;;;;;;;;;;;
626610,21588,0,0,1101,0,274381,8827,93,63,766,246,172,371;;;;;;;;;;;;;;;;
465329,77252,5763,2210,5531,1041,893002,131793,6000,2446,6005,761,50,371;;;;;;;;;;;;;;;;
289255,33865,153,210,106,0,426731,48204,134,145,598,332,47,372;;;;;;;;;;;;;;;;
17151,820,105,34,383,524,68269,3031,0,0,166,691,15,373;;;;;;;;;;;;;;;;
21303,2250,117,122,118,125,63502,6029,84,108,370,56,19,373;;;;;;;;;;;;;;;;
15187,440,168,130,352,12,51527,1474,78,0,221,0,15,374;;;;;;;;;;;;;;;;
54139,3243,260,262,522,439,76381,4795,125,172,394,546,45,374;;;;;;;;;;;;;;;;
14340,861,154,187,500,237,65534,3004,28,57,394,143,12,374;;;;;;;;;;;;;;;;
77321,8237,113,69,621,3,169215,16125,112,63,349,101,34,375;;;;;;;;;;;;;;;;
58754,4248,77,125,56,67,178118,9934,0,30,0,0,22,377;;;;;;;;;;;;;;;;
13832,2131,117,172,169,74,58801,7492,46,56,0,0,13,377;;;;;;;;;;;;;;;;
33859,4580,78,189,109,95,105414,10698,0,75,0,71,20,378;;;;;;;;;;;;;;;;
701956,80086,6093,2363,13920,4740,1367175,128418,6442,2316,14566,4906,50,378;;;;;;;;;;;;;;;;
15548,2942,209,168,369,0,54477,11404,125,64,376,0,14,379;;;;;;;;;;;;;;;;
309030,36314,261,190,491,245,572851,62703,152,49,577,308,41,379;;;;;;;;;;;;;;;;
687891,211048,7551,3172,25022,6608,1159272,337584,6730,2709,23779,5587,55,380;;;;;;;;;;;;;;;;
15017,1896,218,160,0,217,57662,8071,136,36,0,198,14,381;;;;;;;;;;;;;;;;
11316,822,32,130,421,177,50090,3713,0,2,391,153,12,381;;;;;;;;;;;;;;;;
19632,2788,32,0,295,38,55221,9744,0,0,95,112,21,382;;;;;;;;;;;;;;;;
51532,3998,0,103,455,50,88605,7971,0,71,755,111,33,382;;;;;;;;;;;;;;;;
14082,7119,188,228,20,137,56977,24375,91,188,0,191,13,384;;;;;;;;;;;;;;;;
611282,92930,7670,2837,23914,8068,1090882,147139,7426,2610,24543,9674,48,386;;;;;;;;;;;;;;;;
15889,1959,92,130,388,89,55965,7630,0,46,238,0,15,388;;;;;;;;;;;;;;;;
14463,4378,83,236,178,163,62762,13501,0,156,271,407,13,388;;;;;;;;;;;;;;;;
18501,1767,47,156,411,40,64199,6377,0,30,223,124,17,388;;;;;;;;;;;;;;;;
12325,1810,96,233,333,35,54772,5941,0,203,459,66,12,388;;;;;;;;;;;;;;;;
384113,56238,947,642,400,455,160753,25638,285,267,826,594,152,390;;;;;;;;;;;;;;;;
23360,1850,111,131,300,71,89412,5556,18,50,174,4,16,390;;;;;;;;;;;;;;;;
17689,4374,264,122,644,123,67861,17951,247,0,725,61,15,391;;;;;;;;;;;;;;;;
14824,2692,303,119,482,30,63288,10641,247,0,418,0,13,391;;;;;;;;;;;;;;;;
47026,1776,16,92,665,1136,86030,3272,98,127,410,1375,39,391;;;;;;;;;;;;;;;;
13268,266,200,81,422,250,62294,972,181,0,471,214,12,391;;;;;;;;;;;;;;;;
25471,3179,2,104,67,0,93418,8680,0,0,136,34,17,393;;;;;;;;;;;;;;;;
41949,4579,313,149,57,274,115917,10896,255,96,13,378,21,393;;;;;;;;;;;;;;;;
57454,16756,290,109,425,0,90797,25526,163,66,488,0,46,394;;;;;;;;;;;;;;;;
1121055,308668,12721,4786,43343,15233,1726142,468765,11490,4435,41191,16350,64,394;;;;;;;;;;;;;;;;
29017,4247,96,172,79,40,75482,9801,101,88,0,316,22,396;;;;;;;;;;;;;;;;
1060853,149955,220,281,702,199,1574749,241554,201,185,530,172,58,396;;;;;;;;;;;;;;;;
19404,12086,145,40,549,131,60238,36957,49,0,295,520,18,397;;;;;;;;;;;;;;;;
18401,12502,104,175,525,291,62423,36530,0,104,471,451,17,397;;;;;;;;;;;;;;;;
11472,215,127,66,231,277,51632,1940,0,0,249,323,12,397;;;;;;;;;;;;;;;;
143548,72892,0,60,287,671,187104,87573,58,131,340,697,61,398;;;;;;;;;;;;;;;;
19213,2410,93,131,399,87,74766,7000,0,17,169,36,15,399;;;;;;;;;;;;;;;;
83586,8384,200,83,580,216,189119,17033,162,0,627,328,27,399;;;;;;;;;;;;;;;;
17729,2312,133,190,0,262,63606,6509,12,79,0,271,16,400;;;;;;;;;;;;;;;;
